name,employer
A. E. Barit,Hudson Motor Car Company
A. Rangaswami Iyengar,The Hindu
AAMS Arefin Siddique,University of Dhaka
Aaron Manby,Horseley Ironworks
Abbi Tatton,CNN
Abdul Alkalimat,University of Illinois at Urbana%E2%80%93Champaign
Abdullah bin Bayyah,King Abdulaziz University
Abraham Bradley Jr.,United States Post Office Department
Abram S. Isaacs,New York University
Acacio Gabriel Viegas,Brihanmumbai Municipal Corporation
Adam Crozier,ITV (TV network)
Adam Dowdy,Major League Baseball
Adam František Kollár,Maria Theresa
Adam Shaw,ITV (TV network)
Adebayo Ogunlesi,Credit Suisse First Boston
Adelaide R. Hasse,Works Progress Administration
Aditya Jha,Karma Candy Inc.
Adlai Wertman,USC Marshall School of Business
Adolphus Warburton Moore,Civil service
Adrian Bryan-Brown,Boneau/Bryan-Brown
Adrian Chiles,ITV (TV network)
Adrian Earnshaw,Isle of Man Government
Adrian Lydon,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Adrian Newey,Red Bull Racing
Adrian Nicholas Sherwin-White,University of Oxford
Adrian van Hooydonk,BMW
Adrian-Mihail Marian,Tibiscus University of Timi%C5%9Foara
Adrienne Jablanczy,IONIS Education Group
Agnes Mary Mansour,University of Detroit Mercy
Agnew Emiel Larsen,Pitcairn Aircraft Company
Ahmed Fareed,Comcast SportsNet Bay Area
Ahmed Said Khadr,Human Concern International
Ahmed Samerai,Sahara Communications
Aidan Cooney,TV3 (Ireland)
Ailsa McKay,Glasgow Caledonian University
Aira Kemiläinen,University of Jyv%C3%A4skyl%C3%A4
Ajay Vidyasagar,Google
Akihiko Narita,Capcom
Akira Toriyama,Shueisha
Al Barlick,National League
Al Clark,Major League Baseball
Al Forman,National League
Al Mannassau,National League
Al Salerno,American League
Al Smith,American League
Alan Bond,Reaction Engines Limited
Alan Colmes,Fox News Channel
Alan Cox,WMMS
Alan Crowe,Isle of Man Government
Alan David Baddeley,University of York
Alan Dedicoat,BBC
Alan Dower Blumlein,EMI
Alan Hume,Cineguild Productions
Alan Schwarz,The New York Times
Alan Sepinwall,The Star-Ledger
Alasdair Milne,BBC
Alastair Bruce OBE,Sky News
Albert A. Murphree,University of Florida
Albert C. Cohn,New York Supreme Court
Albert Cornelius Knudson,Boston University School of Theology
Albert Fuller Ellis,John T. Arundel
Albert H. Pattengill,University of Michigan
Albert Pierrepoint,Her Majesty's Prison Service
Albert Vögler,Vereinigte Stahlwerke
Alden G. Barber,Boy Scouts of America
Alec Ross,United States Department of State
Aled Jones,ITV Breakfast
Aleh Byabenin,Charter 97
Ales Bialiatski,Viasna Human Rights Centre
Alewyn Burger,Standard Bank
Alex Beresford,ITV (TV network)
Alex Brooker,Press Association
Alex Mascioli,"North Street Capital, LP"
Alex Mitchell,Third Way (magazine)
Alex Polizzi,Channel 5 (UK)
Alex Seropian,Industrial Toys
Alexander Ector Orr,New York Produce Exchange
Alexander John Smits,Princeton University
Alexander Ljungqvist,New York University
Alexander McDonnell,North Eastern Railway (UK)
Alexander Pearson Jr.,United States Army
Alexander Rivkin,United States
Alexander Sergeyevich Yakovlev,Yakovlev
Alexander Trachtenberg,Rand School of Social Science
Alexander Williams,New York City Police Department
Alexandra Kotur,Vogue (magazine)
Alexandru Bantoş,Limba Rom%C3%A2n%C4%83
Alexandru Șoltoianu,Moldova State University
Alfred Holland Smith,New York Central Railroad
Alfred Hugenberg,Krupp
Alfred Irénée  du Pont,DuPont
Alfred Winslow Jones,United States Foreign Service
Alfred Young Man,University of Lethbridge
Ali Abbasi,BBC Scotland
Ali Rowghani,Twitter
Alice Fisher,United States
